threads;time;img;filter
1; 203660; 262144; 9
2; 99127; 262144; 9
4; 49123; 262144; 9
8; 44999; 262144; 9
1; 365705; 262144; 16
2; 192775; 262144; 16
4; 89027; 262144; 16
8; 51186; 262144; 16
1; 561534; 262144; 25
2; 279075; 262144; 25
4; 139565; 262144; 25
8; 91676; 262144; 25
1; 801760; 262144; 36
2; 399361; 262144; 36
4; 197438; 262144; 36
8; 129735; 262144; 36
1; 1085532; 262144; 49
2; 536318; 262144; 49
4; 268508; 262144; 49
8; 182471; 262144; 49
1; 1438716; 262144; 64
2; 722937; 262144; 64
4; 353970; 262144; 64
8; 227865; 262144; 64
1; 1807644; 262144; 81
2; 905770; 262144; 81
4; 452659; 262144; 81
8; 301104; 262144; 81
1; 2198084; 262144; 100
2; 1095139; 262144; 100
4; 553041; 262144; 100
8; 317143; 262144; 100
1; 2628673; 262144; 121
2; 1333670; 262144; 121
4; 682486; 262144; 121
8; 408118; 262144; 121
1; 3160270; 262144; 144
2; 1633685; 262144; 144
4; 785972; 262144; 144
8; 477099; 262144; 144
1; 3746073; 262144; 169
2; 1880406; 262144; 169
4; 925471; 262144; 169
8; 556343; 262144; 169
1; 4346922; 262144; 196
2; 2191540; 262144; 196
4; 1069271; 262144; 196
8; 683162; 262144; 196
1; 4963610; 262144; 225
2; 2515194; 262144; 225
4; 1235043; 262144; 225
8; 749875; 262144; 225
1; 5910864; 262144; 256
2; 2999854; 262144; 256
4; 1490916; 262144; 256
8; 919862; 262144; 256
1; 6391568; 262144; 289
2; 3263748; 262144; 289
4; 1673120; 262144; 289
8; 956308; 262144; 289
1; 7241394; 262144; 324
2; 3650451; 262144; 324
4; 1793055; 262144; 324
8; 1099972; 262144; 324
1; 7957217; 262144; 361
2; 4109837; 262144; 361
4; 1993568; 262144; 361
8; 1161428; 262144; 361
1; 8887428; 262144; 400
2; 4595795; 262144; 400
4; 2208721; 262144; 400
8; 1426051; 262144; 400
1; 9822384; 262144; 441
2; 5275006; 262144; 441
4; 2443768; 262144; 441
8; 1410552; 262144; 441
1; 10759128; 262144; 484
2; 5481544; 262144; 484
4; 2911030; 262144; 484
8; 1607729; 262144; 484
1; 11725001; 262144; 529
2; 6018211; 262144; 529
4; 2915468; 262144; 529
8; 1654375; 262144; 529
1; 12767890; 262144; 576
2; 6479357; 262144; 576
4; 3411190; 262144; 576
8; 1920370; 262144; 576
1; 13844435; 262144; 625
2; 6970091; 262144; 625
4; 3698955; 262144; 625
8; 2193613; 262144; 625
1; 14940771; 262144; 676
2; 7677676; 262144; 676
4; 3900081; 262144; 676
8; 2178576; 262144; 676
1; 16102690; 262144; 729
2; 8227644; 262144; 729
4; 4023007; 262144; 729
8; 2353538; 262144; 729
1; 17302254; 262144; 784
2; 8808742; 262144; 784
4; 4433376; 262144; 784
8; 2347349; 262144; 784
1; 18478502; 262144; 841
2; 9420151; 262144; 841
4; 4612401; 262144; 841
8; 2691125; 262144; 841
1; 19823467; 262144; 900
2; 10217535; 262144; 900
4; 4929748; 262144; 900
8; 2992238; 262144; 900
1; 21118986; 262144; 961
2; 10802691; 262144; 961
4; 5530517; 262144; 961
8; 2955141; 262144; 961
1; 22978862; 262144; 1024
2; 11876283; 262144; 1024
4; 5823698; 262144; 1024
8; 3684608; 262144; 1024
1; 24435311; 262144; 1089
2; 12749543; 262144; 1089
4; 6136488; 262144; 1089
8; 3674308; 262144; 1089
1; 25907401; 262144; 1156
2; 13310978; 262144; 1156
4; 6924310; 262144; 1156
8; 3821279; 262144; 1156
1; 27420812; 262144; 1225
2; 13873433; 262144; 1225
4; 7006607; 262144; 1225
8; 3965000; 262144; 1225
1; 28834616; 262144; 1296
2; 14780188; 262144; 1296
4; 7358680; 262144; 1296
8; 4505090; 262144; 1296
1; 30612846; 262144; 1369
2; 15762576; 262144; 1369
4; 8118166; 262144; 1369
8; 4461827; 262144; 1369
1; 32305561; 262144; 1444
2; 16449813; 262144; 1444
4; 8701019; 262144; 1444
8; 4552338; 262144; 1444
1; 33999847; 262144; 1521
2; 17383389; 262144; 1521
4; 8723567; 262144; 1521
8; 4741353; 262144; 1521
1; 35720437; 262144; 1600
2; 18322504; 262144; 1600
4; 9024093; 262144; 1600
8; 5326208; 262144; 1600
1; 37537618; 262144; 1681
2; 19500353; 262144; 1681
4; 9910772; 262144; 1681
8; 5073871; 262144; 1681
1; 39305481; 262144; 1764
2; 20279155; 262144; 1764
4; 10161169; 262144; 1764
8; 5705595; 262144; 1764
1; 41181627; 262144; 1849
2; 21174830; 262144; 1849
4; 10668524; 262144; 1849
8; 6053905; 262144; 1849
1; 43199679; 262144; 1936
2; 22603169; 262144; 1936
4; 11366936; 262144; 1936
8; 6027551; 262144; 1936
1; 45179269; 262144; 2025
2; 23690825; 262144; 2025
4; 12291618; 262144; 2025
8; 6305083; 262144; 2025
1; 47193034; 262144; 2116
2; 24602695; 262144; 2116
4; 11931004; 262144; 2116
8; 6778015; 262144; 2116
1; 49266187; 262144; 2209
2; 25496217; 262144; 2209
4; 12311195; 262144; 2209
8; 6352155; 262144; 2209
1; 51379156; 262144; 2304
2; 25854611; 262144; 2304
4; 12894194; 262144; 2304
8; 6641933; 262144; 2304
1; 53332908; 262144; 2401
2; 26737706; 262144; 2401
4; 13452202; 262144; 2401
8; 7118049; 262144; 2401
1; 55646214; 262144; 2500
2; 28016226; 262144; 2500
4; 13976090; 262144; 2500
8; 7197085; 262144; 2500
1; 57765668; 262144; 2601
2; 28941908; 262144; 2601
4; 14488496; 262144; 2601
8; 7615378; 262144; 2601
1; 60242464; 262144; 2704
2; 30349165; 262144; 2704
4; 15059418; 262144; 2704
8; 7702414; 262144; 2704
1; 62539982; 262144; 2809
2; 31580944; 262144; 2809
4; 15771803; 262144; 2809
8; 8065424; 262144; 2809
1; 64957780; 262144; 2916
2; 32648190; 262144; 2916
4; 16272626; 262144; 2916
8; 8574199; 262144; 2916
1; 67374316; 262144; 3025
2; 33755854; 262144; 3025
4; 16934460; 262144; 3025
8; 8608095; 262144; 3025
1; 69697354; 262144; 3136
2; 35235004; 262144; 3136
4; 17634565; 262144; 3136
8; 9039186; 262144; 3136
1; 72224541; 262144; 3249
2; 36372188; 262144; 3249
4; 18193519; 262144; 3249
8; 9358178; 262144; 3249
1; 74805772; 262144; 3364
2; 37414549; 262144; 3364
4; 18803925; 262144; 3364
8; 9624530; 262144; 3364
1; 77322101; 262144; 3481
2; 38713264; 262144; 3481
4; 19523258; 262144; 3481
8; 9980978; 262144; 3481
1; 80041341; 262144; 3600
2; 40116589; 262144; 3600
4; 20088636; 262144; 3600
8; 10508276; 262144; 3600
1; 82615831; 262144; 3721
2; 41350510; 262144; 3721
4; 20742004; 262144; 3721
8; 10818320; 262144; 3721
1; 85327558; 262144; 3844
2; 42941510; 262144; 3844
4; 21497513; 262144; 3844
8; 11175694; 262144; 3844
1; 88252747; 262144; 3969
2; 44473360; 262144; 3969
4; 22346268; 262144; 3969
8; 11435199; 262144; 3969
1; 92932824; 262144; 4096
2; 46725051; 262144; 4096
4; 23495706; 262144; 4096
8; 11987984; 262144; 4096
1; 95804189; 262144; 4225
2; 48521528; 262144; 4225
4; 24320689; 262144; 4225
8; 12483668; 262144; 4225
